脑筋急转弯==031  
 
 
 
1501—小红与妈妈都在同一个班里上课，这是为什么？ 答案：一个是学生，一个是老师 
1502—为什么游泳比赛中青蛙输给了狗？ 答案：青蛙用蛙泳犯规 
1503—为读完北京大学需要多少时间？ 答案：一钞钟足够 
1504—小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理？ 答案：修理小明 
1505—黑人和白人生下的婴儿，牙齿是什么颜色？ 答案：婴儿没有牙 
1506—有一根棍子，要使它变短，但不许锯断，折断或削短，该怎么办？ 答案：拿一根长得跟它比 
1507—在罗马数字中，零该怎么写？ 答案：罗马数字没有零 
1508—你能否用3跟筷子搭起一个比3大比4小的数？ 答案：搭成圆周率“∏” 
1509—沙沙声称自己是辨别母鸡年龄的专家，其绝招是用牙齿，为什么？ 答案：把鸡亲口吃了来辨别母鸡的老嫩 
1510—数字0到1之间加一个什么号，才能使这个数比0大，而比1小呢？ 答案：加个“.”成为“0.1” 
1511—什么东西说“父亲”是不会相碰，叫“爸爸”时却会碰到两次？ 答案：上嘴唇和下嘴唇 
1512—一张方桌据掉一个角，还有几个角？ 答案：5个角 
1513—金太太一向心直口快，可什么事竟让她突然变得吞吞吐吐了呢？ 答案：金太太在吃甘蔗的时候吞吞吐吐 
1514—请仔细想一想，你所见到的最大影子是什么？ 答案：地球的影子，即每天的晚上 
1515—把24个人按5人排列，排城6行，该怎样排？ 答案：排成正六边形即可 
1516—公共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么？ 答案：这是一对聋哑人 
1517—一个人在什么情况下，才处于真正的任人宰割的地步？ 答案：在手术台上时 
1518—什么东西愈生气，它便愈大 答案：脾气 
1519—问医生病人的情况,医生只举起5个手指家人就哭了,是什么原因呢 答案：三长二短 
1520—人们甘心情愿买假的东西是什么？ 答案：假发，假牙 
1521—什么东西越洗越脏？ 答案：水 
1522—最不听话的是谁？ 答案：聋子 
1523—一个人掉到河里，还挣扎了几下，它从河里爬上来，衣服全湿了，头发却没湿，为什么？ 答案：因为他是光头 
1524—小明新买的袜子就有一个洞，他却不去找售货员换，你知道为什么吗？ 答案：袜口 
1525—什么事你明明没有做，但却要受罚？ 答案：家庭作业 
1526—大家都不想得到的是什么？ 答案：得病 
1527—什么英文字母最多人喜欢听呢 答案：ＣＤ 
1528—什么东西晚上才生出尾巴呢 答案：流星 
1529—家人问医生病人的情况,医生只举起5个手指,家人就哭了,是什么原因呢 答案：三长两短 
1530—什么东西有五个头，但人不觉的它怪呢 答案：手，脚 
1531—什么水永远用不完 答案：泪水 
1532—大象的左耳朵像什么？ 答案：右耳朵 
1533—书店里买不到什么书 答案：遗书 
1534—什么帽不能戴 答案：螺帽 
1535—一个学生住在学校里，为什么上学还经常迟到？ 答案：家所在的学校不是他上学的学校 
1536—为什么警察对闯红灯的汽车司机视而不见？ 答案：汽车司机没开车 
1537—两对父子去买帽子，为什么只买了三顶？ 答案：三代人 
1538—在一次监察严密的考试中，有两个学生交了一模一样的考卷。主考官发现后，却并没有认为他们作弊，这是什么原因？ 答案：二张都是白卷 
1539—张大妈整天说个不停，可有一个月她说话最少，那是哪个月？ 答案：二月份 
1540—有一种地方专门教坏人，但没有一个警察敢对它采取行动加以扫荡。这是什么地方 答案：看守所 
1541—当今社会，个体户大都靠什么吃饭？ 答案：嘴 
1542—冰变成水最快的方法是什么？ 答案：去掉两点水 
1543—小刘是个很普通的人，为什么竟然能一连十几个小时不眨眼？ 答案：睡觉 
1544—小王是一名优秀士兵，一天他在站岗值勤时，明明看到有敌人悄悄向他摸过来，为什么他却睁一只眼闭一只眼？ 答案：他自在瞄准 
1545—猪的全身都是宝，用处很大，猪对人类还有什么用处？ 答案：还可以用来骂人 
1546—六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理 答案：妈妈让爸爸修理小明 
1547—早晨醒来，每个人都会去做的第一件事是什么？ 答案：睁眼 
1548—报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了？ 答案：报纸上的年月日 
1549—阿研的口袋里共有10个硬币，漏掉了10个硬币，口袋里还有什么？ 答案：一个破洞 
1550—为什么女人穿高跟鞋后，就代表她想要结婚了 答案：因为穿上高跟鞋，别人追就跑得慢啊。
