脑筋急转弯==040  
 
 
 
1951—小明为何能用一只手让車子停下來？ 答案：他在大出租车 
1952—一只小鸟正在飞，猎人对他说了句话，小鸟掉下来了，你猜猎人说了什么？ 答案：呀！你的翅膀掉毛了！”小鸟信以为真，看了一下，就这 
1953—为什么蝙蝠会经常倒吊着？ 答案：因为它胃下垂 
1954—用力 答案：用什么拖地最干净？ 
1955—小丽和妈妈买了８个苹果，妈妈让小丽把这些苹果装进５个口袋中，每个口袋里都是双数，你能做到吗？ 答案：每条口袋各装２个苹果，最后将所有4条口袋装进第5条口 
1956—只能一个人去做的事是什么？　 答案：做梦 
1957—什么瓜不能吃　 答案：傻瓜 
1958—1，2，3能组成的最大数是多少？　　 答案：3年21次方 
1959—森林中有十只鸟，开枪打死一只，为什么其它九只不飞走？ 答案：因为它是驼鸟 
1960—在古时侯，什么人没当爸爸就先当公公了？　 答案：太监 
1961—妇女们在不知不觉中丢失掉的东西是什么？　　　　　　　　　　　　　　　　　　 答案：美貌 
1962—骑马的狩猎人，是怎么走路的？　　　 答案：用马步 
1963—三个小朋友各买了一双相同的鞋，为什么他们穿的鞋还是不一样？ 答案：刚买，未穿 
1964—小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理？ 答案：修理小明 
1965—好心的约翰去世了，天使要带他上天堂，为什么他坚决不肯去？ 答案：他有恐高症 
1966—“先天”是指父母的遗传，那“后天”是什么？ 答案：明天的明天 
1967—什么东西明明是你的，别人却用的比你多得多？ 答案：你的名字 
1968—一个可以大可以小的地方是哪里？ 答案：厕所 
1969—一个人被关在密闭的房间里，只有一扇门，但无法拉开，他该如何出来？ 答案：把门推开 
1970—在罗马数字中，零该怎么写？ 答案：罗马数字没有零 
1971—太平洋的正中间是什么？ 答案：平字 
1972—小明在一场激烈枪战后，身中数弹，血流如注，然而他仍能精神百倍地回家吃饭，为什么？ 答案：他在拍戏 
1973—什么情况一山可容二虎？ 答案：一公一母 
1974—小华明天考试，他已经把英语背得滚瓜烂熟，第二天考试还是不及格，为什么？ 答案：第二天不是考英语 
1975—一个人被关在密闭的房间里，只有一扇门，但无法拉开，他该如何出来？ 答案：把门打开 
1976—什么人始终不敢洗澡 答案：泥人 
1977—火车由北京到上海需要６小时,行使３小时后,火车该在什么地方 答案：在车轨道上 
1978—什么地方开口说话要付钱 答案：打电话 
1979—如果有机会让你移民,你一定不会去哪个国家 答案：天国 
1980—有一种水果，没吃之前是绿色的，吃下去是红色的，吐出时却是黑色的，請問是请问这是什么水果 答案：西瓜 
1981—当今社会，个体户大都靠什么吃饭 答案：嘴巴 
1982—男人泡澡堂-----打一军事用品。 答案：炮弹 
1983—当你的女友向你要天上的星星怎么办？ 答案：给她一拳 
1984—说有一只乌龟，一天路过一个火车站，它正想爬过去的时候，突然开过来一辆火车，乌龟由于躲闪不及，被火车压了过去，等火车过去了以后，乌龟发现自己没有死，你猜是为什么呢？ 答案：它在做梦 
1985—什么动物坐也是坐，站也是坐，走也是坐？ 答案：青蛙 
1986—小明知道试卷的答案，为什么还频频看同学的？ 答案：因为小明是老师 
1987—警察面对两名歹徒，但他只剩下一颗子弹，他对歹徒说：谁动就打谁，结果没动的反而挨子弹，为什么？ 答案：因为不动的比较好打 
1988—舔也硬，不舔也硬，想舒服睡，先搓搓它 答案：牙齿 
1989—吃苹果时，咬了一口发现有一条虫子，觉得特别恶心；看到两条虫子，觉得更恶心；请问：看到几条虫子让人最恶心？ 答案：半条虫子 
1990—一只鸡，一只鹅，放冰箱里，鸡冻死了，鹅却活着，为什么？ 答案：企鹅 
1991—用什么擦地最干净？ 答案：用力 
1992—一只狗总也不洗澡，为什么不生虱子？ 答案：狗只会生小狗 
1993—什么样的井让人害怕？ 答案：陷阱 
1994—一堆西瓜，一半的一半比一半的一半的一半少半个，请问这堆西瓜有多少个？ 答案：2个 
1995—什么东西满屋走，但碰不着物件？ 答案：声音 
1996—三人共撑一把小伞在街上走，却没有淋湿，为什么？ 答案：没有下雨 
1997—什么东西裂开之后，用精密的仪器也找不到裂纹？ 答案：感情 
1998—小张的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水　　 答案：他掉到河里去了 
1999—闭着眼睛也看得见的是什么？ 答案：梦 
2000—一个阴森的夜晚，眼前站着长发披肩，身穿白衣脸色苍白的一个女孩，用手去摸她，却摸不着，为什么？ 答案：中间隔着透明玻璃窗 
