脑筋急转弯==061  
 
 
 
3000—地球上什么地方的出生率最高 答案：产房 
3001—小张一直朝北走,走着走着他又没有转身可是却走到了正南方,为什么 答案：他越过北极点在向前走就是南方 
3002—为什么现代人越来越言而无信 答案：因为有了电话 
3003—一个职业登山运动员什么山上不去 答案：刀山 
3004—一家业务繁忙的医院却没有病床,为什么 答案：因为是家兽医院 
3005—一个功夫极好的人为什么跳不过他师傅给他画的一个圈 答案：因为小圈是绕着这个人的腰画的 
3006—什么枪可把人打跑又不伤人 答案：发令枪 
3007—什么东西只能加,不能减 答案：年龄 
3008—有十支蜡烛,你吹灭了三支,还有几支 答案：十支 
3009—地震的时候什么地方最安全 答案：飞机上 
3010—什么有的果树生长十几年也不接一个苹果 答案：那不是一颗苹果树 
3011—想从北京到巴黎,要多少钱 答案：不要钱,因为只是想一想 
3012—如何从一半是水,一半是油的缸中取水不取油 答案：从缸底部打个洞取水,因为水的比重比油大. 
3013—什么东西经常会来，但却从没真正来过？ 答案：明天 
3014—有两个人，一个面朝南，一个面朝北的站立着，不准回头，不准走动，不准照镜子，问他们能否看到对方的脸？ 答案：当然能，他们是面对面站着的 
3015—如果有人向你问路,你最怕听到哪一句话 答案：这里是地球吗 
3016—什么蛋中看不中吃？ 答案：脸蛋 
3017—有一种东西，买的人知道，卖的人也知道，就只有用的人不知道，请问这究竟是什么东西？ 答案：棺材 
3018—亚当和夏娃结婚后，最大的遗憾是什么？ 答案：没有人来喝喜酒 
3019—有一块天然的黑色的大理石，在九月七号这一天，把它扔到钱塘江里会有什么现象发生 答案：沉到江底 
3020—你只要叫它的名字就会把它破坏，它是什么？ 答案：沉默 
3021—小王与父母头一次出国旅行，由于语言不通，他的父母显的不知所措，小王也不懂丝毫外语，他也不是聋哑人，却象在自己国家里一样未尝感到丝毫不便这是为什么？ 答案：小王是个婴儿 
3022—胖妞生病了，最怕别人来探病时说什么？ 答案：多多保重 
3023—什么东西请人吃没人吃，自己吃又咽不下？ 答案：吃亏 
3024—有一种书，既没有作者，从来也没有一个人看得懂，你知道这是什么书吗？ 答案：天书 
3025—世界上有什么东西以近2000公里小时的速度载着人奔驰，而且不必加油或其它燃料？ 答案：地球 
3026—9个橙分给13个小朋友,怎么分才公平 答案：榨成汁 
3027—时钟什么时候不会走？ 答案：时钟本来就不会走 
3028—有一个眼睛瞎了的人，走到山崖边上，突然停住了，然后往回走。 答案：他只瞎了一只眼 
3029—请问：将18平均分成两份，却不得9，还会得几？ 答案：得10，从中间分 
3030—一只瞎了左眼的山羊,在它左边有一块牛肉,在它右边有一块猪肉,请问它吃哪一块 答案：都不吃羊是吃素的 
3031—市里新开张了一家医院，设备先进，服务周到。但令人奇怪的是：这儿竟一位病人都不收，这是为啥？ 答案：这是兽医院 
3032—有一位女士离婚数次打一四字成语 答案：前公（功）尽弃 
3033—有三个空房间，一间房间有三盏灯，另一个房间有三个开关，每一个开关只能打开一盏灯，如果你只可以进每个房间一次，那你要如何知道那个开关控制哪盏灯？ 答案：进有开关的房间，打开其中一个开关，过５分钟后关掉， 
3034—铁锤锤鸡蛋为什么锤不破？ 答案：铁锤当然不会破 
3035—吃苹果时，咬了一口发现有一条虫子，觉得特别恶心；看到两条虫子，觉得更恶心；请问：看到几条虫子让人最恶心？ 答案：半条虫子 
3036—口吃的人做什么事最亏 答案：打国际长途电话 
3037—小红和小李互相吹牛,小红说她可以把整个世界吃下去,小李说了什么胜过了小红 答案：小李说,我可以把你吃下去 
3038—有一匹马,它向南走5步,向北走3步,又向西跑了10步,请问最后它的尾巴朝什么地方 答案：朝地 
3039—龟兔又赛跑了,这次兔子没有偷懒、贪玩但是这次兔子还是输了,为什么 答案：乌龟把终点设在了海里 
3040—人们最不乐意,却一不小心就会吃上的是什么 答案：吃亏 
3041—为什么小王只有一条右腿 答案：因为每个人都只有一条右腿和一条左腿 
3042—一个人掉进游泳池里,他的脚却没有湿,为什么 答案：游泳池中没有水 
3043—小王天生力气大,一次打羽毛球由于力气过大,球打出后5分钟才落地,可能吗 答案：可能,球被打到树上了 
3044—两只长约7cm的红、黑螃蟹赛跑,谁会赢 答案：黑螃蟹,因为红螃蟹是煮熟了的 
3045—两个从未见面却能谈成几笔生意,可能吗 答案：可能,通过电话、互联网等工具 
3046—小王身高175m,为什么他参加完球赛后变成了178m 答案：头上被打了一个包 
3047—老王的头发已经掉光了,可为什么他还老去理发店 答案：老王是理发师 
3048—王既不买票有没有月票的为什么可以从起点坐到终点 答案：因为他是司机 
3049—冬天里，不通过加热，如何才能把冰立刻变成水？ 答案：把冰的两点去掉
