脑筋急转弯==063  
 
 
 
3100—阿勇做事总是拖泥带水，但上级部门总是表彰他，这是为什么？ 答案：他是泥瓦匠 
3101—小戴手里拿着火柴走到厨房，这有一个煤气灶和一个酒精灯，他如果想烧开水，请问：他应该先点燃什么？ 答案：火柴 
3102—爸爸问小明，什么东西浑身都是漂亮的羽毛，每天早晨叫你起床？小明猜对了，但却不是鸡，那是什么？ 答案：是鸡毛掸子 
3103—哪种比赛，赢的得不到奖品，输的却有奖品 答案：划拳喝酒 
3104—一个人掉到河里，，它从河里爬上来，头发却没湿，为什么？ 答案：因为他是光头 
3105—有一个人被从几千米的高空掉下来的东西砸在头上，却没有受伤，为什么？ 答案：砸下来的是雪花 
3106—一只鸡，一只鹅，放冰箱里，鸡冻死了，鹅却活着，为什么？ 答案：鹅是企鹅 
3107—什么人每天靠运气赚钱？ 答案：煤气工人 
3108—报纸上登的消息不一定百分之百是真的，但什么消息绝对假不了 答案：年月日 
3109—在一个寒冷冬日清晨，有一位西装革履的先生在河里拼命游水，你说这是为什么 答案：他不小心掉进河里了 
3110—三更半夜回家才发现忘记带钥匙，家里又没有其他人在，这时你最大的愿望是什么？ 答案：门忘了锁 
3111—小明对小华说：“我可以坐在一个你永远也坐不到的地方！” 答案：小华的身上 
3112—家有家规，国有国规，那动物园里有啥规 答案：乌龟 
3113—什么官不仅不领工资，还要自掏腰包 答案：新郎官 
3114—车祸发生不久，第一批警察就赶到了现场，他们发现司机完好无损，翻覆的车子内外血迹斑斑，却没有见到死者和伤者，而这里是荒郊野外，并无人烟，这是怎么回事 答案：这是一辆献血车 
3115—如果有机会让你移民,你一定不会去哪个国家 答案：天国 
3116—有一次，老李买了一只狗，买了一篮子骨头，他休息时，用一根5米的绳子将狗拴在路边树上，将骨头放在离狗8米的地方，但过了一会儿，他发现骨头被狗叼走了，你知道为什么吗？ 答案：狗在树的另一端，骨头在这一端时，他们相距8米 
3117—当今社会，个体户大都靠什么吃饭 答案：靠嘴巴 
3118—什么地方开口说话要付钱 答案：打电话 
3119—南来北往的二个人，一个挑担，一个背包，他们没争也没吵，也没有人让路，却顺利的通过了独木桥，为什么 答案：南来北往是一个方向，当然可以顺利的度过独木桥 
3120—什么布剪不断？ 答案：瀑布 
3121—我不会轻功，但一只脚搭在鸡蛋上，鸡蛋不会破，这是为什么？ 答案：另一只脚站在地上 
3122—美丽的公主结婚以后就不挂蚊帐了，为什么？ 答案：她嫁给了青蛙王子 
3123—一个人被关在密闭的房间里，只有一扇门，但无法拉开，他该如何出来？ 答案：把门推开 
3124—新买的袜子怎么会有一个洞？ 答案：袜口 
3125—数字0到1之间加一个什么号，才能使这个数比0大，而比1小呢？ 答案：加个“.”成为"0.1" 
3126—金太太一向心直口快，可什么事竟让她突然变得吞吞吐吐了呢？ 答案：金太太在吃甘蔗的时候吞吞吐吐 
3127—请仔细想一想，你所见到的最大影子是什么 答案：地球的影子，即每天的晚上 
3128—24个人按5人排列，排城6行，该怎样排？ 答案：排成正六边形即可 
3129—共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么？ 答案：这是一对聋哑人 
3130—有一头头朝北的牛，它先向左转三圈，然后再向后转两圈半，接着再往右转，这时候它的尾巴朝哪儿？ 答案：朝下 
3131—用椰子和西瓜打头哪一个比较疼？ 答案：头比较疼 
3132—为什么人们要到市场上去？ 答案：因为市场不会来 
3133—下雪天，阿文开了暖气，关上门窗，为什么还感到很冷？ 答案：他在门外 
3134—阿呆开车去动物园玩，动物园很近，他的路并没有走错，为何却总到不了目的地？ 答案：早开过了 
3135—在一次考试中，两个学生交了一模一样的考卷，但老师认为他们肯定没有做弊，这是为什么？ 答案：他们交的是白卷 
3136—蝎子和螃蟹玩猜拳，为什么它们玩了两天，还是分不出胜负呢？ 答案：两个都出剪刀 
3137—进动物园后，最先看到的是哪种动物？ 答案：人 
3138—马亚买了新音响，电源开了录音带也放了，为什么没有声音呢？ 答案：停电了 
3139—两对父子去买帽子，为什么只买了三顶？ 答案：是祖孙三人 
3140—袋鼠和猴子参加跳高比赛，为什么猴子一开始就赢了？ 答案：袋鼠双脚起跳犯规 
3141—一个不会游泳的人掉进了水里却没有淹死，为什么？ 答案：他在洗澡 
3142—家人问医生病人的情况,医生只举起5个手指,家人就哭了,是什么原因呢 答案：三长两短 
3143—小李因工作需要常应酬交际，虽然每天都很早回家，可是老婆还是抱怨不断。为什么？ 答案：他是早上才回家 
3144—路边电线杆上蹲着一只猴子，司机小李看到就立刻停下车来，请问为什么 答案：他把猴屁股当红灯了 
3145—书店里买不到什么书 答案：遗书 
3146—什么帽不能戴 答案：螺帽 
3147—为什么警察对闯红灯的汽车司机视而不见？ 答案：汽车司机没开车 
3148—沙沙声称自己是辨别母鸡年龄的专家，其绝招是用牙齿，为什么？ 答案：把鸡吃了亲口辨认母鸡的老嫩 
3149—公共汽车上，两个人正在热烈的交谈，可围观的人却一句话也听不到，这是因为什么？ 答案：这是一对聋哑人。 
