脑筋急转弯==065  
 
 
 
3200—伴奏。打一成语 答案：肋人为乐 
3201—环球旅行。猜一现代香港名星名 答案：周星驰 
3202—不相信恋人。猜一公安用语 答案：怀疑对象 
3203—木兰之子，猜食名物一 答案：花生 
3204—什么事可以在这里不仅可以练就一身钢筋铁骨，而且能成就一双不惧“风雨”的眼睛？ 答案：洗澡 
3205—一字四十八个头，内中有水不外流。猜一字。 答案：井。此迷的关键理解出四个十和八个头，而不是四十八个 
3206—三人戏一球，一人在绸缪，一人翻身踢，一人地下收。据此诗猜一字 答案：似。 说明：谜文以比喻的形式，极其生动地描绘了“似? 
3207—一种饮料，由恶意和谎言加上微量事实配制而成的，能有效地削弱领导的洞察力，是什么？ 答案：小报告 
3208—有半瓶酒，瓶口用软木塞塞住，在不敲碎瓶子，不准拔去木塞，不准在塞子上钻孔的情况下，怎样喝到瓶子里的酒？ 答案：把塞塞进瓶里 
3209—什么是在废除死刑制度之后的民主、法治国度里，授予医生的一种宣判死刑的特权？ 答案：癌症 
3210—大部分人出生在什么地方？ 答案：产床上 
3211—人们能以坦然、自得的心情面对贷币大幅度贬值的地方是什么地方？ 答案：精品屋 
3212—一个被指控的人，在其清白无辜被证明之前，他是有罪的。他是什么人？ 答案：被告 
3213—夜夜看落花　（打一礼貌用语） 答案：多谢 
3214—没有铁栏杆的牢笼。在这种牢里，患者面临现代医学所知的各种传染性病毒的威胁，并经常忍受种种科学的折磨。这是哪里？ 答案：医院 
3215—冶金学------打一本书（小说）名 答案：《钢铁是怎样炼成的》。 
3216—上无片瓦遮身，下无立锥之地。腰间挂个葫芦，只知阴阳之理。猜一字。 答案：卜 
3217—哪个连的人员比一般连队的人员要多得多？ 答案：大连 
3218—阿呆从热气球上掉下来，却没有受伤，为什么？ 答案：因为热球就在地面上 
3219—哪种比赛，赢的得不到奖品，输的却有奖品 答案：划拳喝酒 
3220—有风不动无风动，不动无风动有风(猜一物) 答案：扇子 
3221—侍儿扶起娇无力（打一食品名） 答案：玉环稣 
3222—江河流水归一处（打一字） 答案：“珂”，因为“江河”两字去“水”后成“工可”，再加 
3223—一个人在什么情况下，才处于真正的任人宰割的地步？ 答案：手术台上 
3224—为什么一瓶标明剧毒的药对人却无害 答案：只要你不去喝它 
3225—亚当和夏娃结婚后最大的遗憾是什么 答案：没人来喝喜酒. 
3226—刘邦破咸阳—城市名一 答案：秦皇岛 
3227—三国谜猛翼德千杯不醉(乐人一) 答案：张洪量 
3228—公共汽车来了，一位穿长裙的小姐投了2元，司机让她上车；第二位穿迷你裙的小姐沒给钱，司机也照样让她上车，为什么？ 答案：她有月票 
3229—重男轻女打一地名 答案：贵阳 
3230—超人使用超高性能望远镜观察地球时，发现外星人正且欲毁灭地球。超人只要使用瞬间移动装置，便可于一秒内到达地球，请问超人究竟能否拯救地球 答案：那要看外星人毁灭地球的速度了， 如果外星人从几万光? 
3231—小王13岁的生日为何点了14根蜡烛 答案：用一根点着那十三根 
3232—甲、乙两只狼狗举行1000米赛跑，假如两只狼狗同时跑到终点，那么哪只狼狗出汗多？ 答案：狼狗不出汗 
3233—有个汽车司机，在交叉路口上突然撞进人群中，全速向前跑，警察也不责怪他。你说这是为什么？ 答案：汽车司机今天没开车 
3234—从前有只鸡，鸡的左面有只猫，右面有条狗，前面有只兔子，鸡的后面是什么？ 答案：注意第一句话，从的前面有只鸡，那么鸡的后面当然是“ 
3235—孔子与孟子有何不同？ 答案：“子”的位置不同。孔子的“子”在左边，孟子的“子” 
3236—在地上有100元钱和一块肉骨头，可是阿明却拣起了肉骨头而没有捡钱，为什么？ 答案：这里的“阿明”是条狗的名字 
3237—有一本书，兄弟俩都想买。如果用哥哥的钱单买要缺5元钱，如果用弟弟的钱买缺1角钱，如果两人把钱和起来只买一本书，钱仍然不够。那么这本书的价钱是多少呢？ 答案：这本书的价钱是5元钱；哥哥没有钱，弟弟有4元9角 
3238—如果动物园失火了，最先逃出来的哪一种动物？ 答案：人 
3239—李哲看起来平平常常，并无什么特别之处，但他却可以连续数小时不眨眼睛，他是怎么做到的呢？ 答案：把眼睛闭上就可以做到了 
3240—什么水果没吃之前是绿色的，吃下去是红色的，而吐出来却是黑色的？ 答案：西瓜 
3241—农民、工人、军人、科学家都靠什么吃饭？ 答案：靠嘴吃饭 
3242—一架飞机在天空飞翔时突然没油了，请问：什么东西会最先掉下来？ 答案：油表的指针。 
3243—什么人生病从来不看医生？ 答案：盲人 
3244—一个数字若去掉前面第一个数字是13，若去掉最后一个数字为40，请问原数是多少？ 答案：四十三 
3245—中国哪个地方的东西最不便宜？ 答案：贵州 
3246—说从天津坐火车到北京1个小时15分钟,问火车从天津出发1个小时45分钟后在哪 答案：在铁轨上 
3247—王子吻了睡美人之后，睡美人为何沒有起來？ 答案：她在赖床 
3248—台湾最大的湖是什么湖？ 答案：澎湖 
3249—比「春光外洩」更严重的是什么？ 答案：瓦斯外洩
