脑筋急转弯==066  
 
 
 
3250—服裝仪容检查时，明明有理头发，为什么教官不信？ 答案：秀才遇到兵，「有理」說不清 
3251—乌龟为什么会突然「一个头两个大」？ 答案：因为乌龟正在想这个问题 
3252—考试时，小光全部都抄小明的，为什么小明得到一百分，小光却零分呢？ 答案：因为小光连名字都抄小明的 
3253—小胖为什么吃两个便当？ 答案：因为三个便当吃不下 
3254—养过电子鸡和电子狗的人，会有什么感受？ 答案：鸡犬不宁 
3255—牛顿因掉落苹果发现引力；如你在椰树下等被椰子打中会发现什么？ 答案：会发现这种行为很愚蠢 
3256—為什么男人和女人会分手？ 答案：因为男女有「別」 
3257—考试时，阿财一題都不会写，但是为什么突然眼睛一亮，开始振笔疾书？ 答案：他在写班級、座号、姓名。 
3258—小胖在大扫除时偷吃紅豆冰棒被老师看见，老师生气的问：「太闲了是不是!」，结果小胖说了什么，害老师差点当场昏倒？ 答案：小胖說：「老师，紅豆冰棒是甜的。」 
3259—大人上班迟到的原因是塞车，小孩上学迟到的原因是什么？ 答案：大人睡过头了 
3260—黃皮肤的人是黃种人，绿皮肤的人属于哪一种？ 答案：新品种 
3261—卖火柴的小女孩如果投胎转世來到现代，最有可能变成什么？ 答案：兼售打火机的槟榔西施 
3262—「1155665」，猜七个字。 答案：一闪一闪亮晶晶。（简谱） 
3263—太阳爸爸和太阳妈妈生了个太阳儿子，我们应该说什么祝贺辞恭喜他们？ 答案：生「日」快乐！ 
3264—要想成功的闯红灯，它的秘决在哪里？ 答案：要等黃灯和绿灯结束才过马路 
3265—在冰天雪地的北极找不到防身的武器時该怎么办？ 答案：撒泡尿制成冰剑。 
3266—我们在平常生活中最常讲什么话？ 答案：电话 
3267—废除早自习会造成什么影响？ 答案：让学生和家长可以多赖床半小时。 
3268—为什么大家都喜欢坐在电视机前看电视？ 答案：因为站久了脚会酸。 
3269—为什么今天全球股市指数下跌？ 答案：今天是「世界环保日」 
3270—小王有五颗糖，吃了两颗后，被大林和他的女友看见，大林说「好东西要和老朋友分享。」请问小王该怎么做？ 答案：向大林说声「谢谢」，然后带走大林的女友。 => 大林说 
3271—同事们在小张家喝酒、聊天，酒过三巡后，为什么大家都知道小张喝醉了？ 答案：因為小张正在穿鞋子，准备回家 
3272—天气愈來愈冷，为什么小华不多加件衣服，反而要脫衣服？ 答案：因为他准备要洗澡了。 
3273—东西掉了该怎么办？ 答案：沒关系，还有四张空白麻將。 
3274—小丁在游泳池游泳，游着游着，为什么水突然变深了？ 答案：因为有人刚撒了一泡尿 
3275—粲胄苷埔绾尾趴杉娴茫? 答案：养一只会抓魚的熊 
3276—下雨天时，两个人共撐一把伞，结果两个人都被淋湿；三个人共撐一把伞时，为什么沒有人再被淋湿？ 答案：因为雨停了 
3277—不小心溺水时，若附近沒有其他人该如何自救？ 答案：把水喝光 => 但是还是会胀死 
3278—早上睡过头了，结果发现是因为闹钟沒响时，你会如何？ 答案：叫闹钟该起床罗！ 
3279—人最怕屁股上有什么东西？ 答案：一屁股的债 
3280—世界上有那一种花通常夏天是冰冷的，冬天是温热的？ 答案：豆花 
3281—高考发榜了，为什么志明榜上无名却一点也不难过？ 答案：因为志明还在念小学。 
3282—乌龟有沒有牙齿？ 答案：你沒张开嘴巴我怎么知道？ 
3283—地上的积水因太阳照射蒸发，会愈來愈少；什么地方的水太阳愈強烈照射，水反而愈來愈多？ 答案：A.身上的汗水。B.雪地 
3284—什么事是林先生和林太太每天睡觉时都要做的事？ 答案：闭上眼睛 
3285—王太太委托征信社二十四小时日夜跟踪、监视王先生，以防他出轨，但是为什么最后王先生还是出轨了？ 答案：因为王先生搭乘地铁出轨了 
3286—进浴室洗澡时，要先脱衣服还是裤子？ 答案：先关门比较好 
3287—问医生病人的情况,医生只举起5个手指家人就哭了,是什么原因呢 答案：三长两短 
3288—一只狗总也不洗澡，为什么不生虱子？ 答案：狗当然生不出虱子来 
3289—遇到什么事情最好高抬贵手 答案：别人用枪指着你的时候 
3290—什么话可以世界通用 答案：电话 
3291—为什么阿郎穿着全新没破洞的雨衣,却依然弄的全身湿透？ 答案：因为他在炎热的太阳底下穿着雨衣 
3292—一只瞎了左眼的山羊,在它左边有一块牛肉,在它右边有一块猪肉,请问它吃哪一块 答案：难道你不知道山羊是吃素的吗？ 
3293—你在学校学到的知识越多，什么就会少？ 答案：不知道的东西 
3294—什么布是用剪子剪不断的？ 答案：瀑布 
3295—有一种东西，上升的时候同时会下降，下降的同时会上升，这是什么？ 答案：跷跷板 
3296—什么样的水不能喝？ 答案：薪水 
3297—大家都不想得到的是什么？ 答案：得病 
3298—一个人掉到河里，，它从河里爬上来，头发却没湿，为什么？ 答案：因为他是光头 
3299—一个自讨苦吃的地方在哪里？ 答案：药店
