脑筋急转弯==013  
 
 
 
0601—为什么军中的早餐一直是豆浆馒头，从不吃稀饭？ 答案：馒头比较好数 
0602—阿兵哥出操去野外最喜欢打什么？ 答案：打香肠 
0603—阿兵哥们为什么会把手榴弹叫做铁蛋？ 答案：碰上了铁定完蛋 
0604—步兵用走的，什么兵却随时要用跑的？ 答案：逃兵 
0605—国旗和军旗差在哪里？ 答案：插在旗墩上 
0606—成功领受训的大专兵，为什么都会以身高来分发连部？ 答案：以免矮小在被乱棒打死 
0607—王上尉的老婆跟他说梦到自己变成上校夫人，王上尉很高兴，但是没多久王上尉却独自喝起闷酒来，为什么？ 答案：他老婆改嫁给了一位上校 
0608—单兵甲偷用了单兵乙的牙刷，单兵乙有B型肝炎，为什么单兵甲却没有被传染？ 答案：他拿去刷皮鞋了 
0609—王辅导一向心直口快，什么事竟然会让他突然变得吞吞吐吐起来？ 答案：他在吃甘蔗 
0610—波霸参加500公尺赛跑，一路领先的波霸不慎摔了一大跤却还能得第一名，为什么？ 答案：因为其它人都被陷到坑里了 
0611—生性巴结的陈连长特别在师长儿子生日那天准备了一份礼物送师长的儿子，为什么师长的儿子一脚就把礼物给踢开了呢？ 答案：那礼物是一只足球 
0612—新兵阿国：“报告班长！我的豆浆里有一只苍蝇。”为什么班长却若无其事的告诉他放心喝，没有问题的？ 答案：因为馒头里的蜘蛛会把苍蝇 
0613—婴儿的屁股上为什么都有青色的胎记？ 答案：死赖着不肯投胎 
0614—夜里迟归的丈夫，不小心惊醒“恰北北”的太太，可以用什么方法脱困？ 答案：假装梦游 
0615—一个胖子和一个瘦子一起跳楼，谁先到达地面？ 答案：围观的群众 
0616—龟兔赛跑总是龟赢，兔子应该坚持比哪一项目，才能赢得了乌龟？ 答案：仰卧起做 
0617—阿忠在外岛站卫兵时，明明看到水鬼摸上岸了，为什么他却睁一只眼闭一只眼？ 答案：他正在瞄准 
0618—老刘一个人在屋里睡觉，醒来时为什么屁股上竟然出现了深深的牙印？ 答案：工他压在自己的假牙上了 
0619—二次世界大战时，日本训练了很多神风特攻队员，战后剩下的那些人呢？ 答案：在台北开计程车 
0620—师长要在最勇猛的第一班中挑敢死队员，就下令志愿者向前一步，大兵阿德原地不动，为什么却光荣入选？ 答案：其他人都向后退了一步 
0621—某部队弹尽粮绝的被包围了很久，空军终于赶到，却只空投了一块大石头又飞走了，为什么？ 答案：让他们刻阵亡将士纪念碑 
0622—连长用餐完毕向一旁的朱排长借火柴，朱排长殷勤的掏出“都彭”打火机，却被连长白了他一眼，为什么？ 答案：打火机怎么剔牙齿 
0623—小明跳进了河为什么没死 答案：河里没水 
0624—怎样用手使一个不会上升的气球到达最高处 答案：把气放掉然后把汽球使劲扔天上去. 
0625—怎样使一只用纸叠的船在水里不会被水浸坏 答案：在纸上涂一层蜡. 
0626—有两个棋友在一天中共下了9盘棋，在没有和局的情况下他俩赢的次数相同，这是怎么一回事？ 答案：所下的九盘棋都不是他们下的 
0627—香港最出名的是什么？ 答案：香港脚 
0628—睡美人最怕什么 答案：失眠 
0629—一位游泳运动员横渡了英吉利海峡。当他登陆时，大家都为他喝彩。但一个犹太人却批评他：“``````”她说什么？ 答案：你还不知道这里有航船吗? 
0630—有一天坐公共汽车，车内买票人数只有坐车人数的13，售票员对此无动于衷。假设有月票的人也买了票，而且无一个小孩，请问这种情况会不会有？ 答案：只有一个乘客. 
0631—古先生有一晚从公司的办公室走出，去拜访几位顾客。当他回家后，忽然发觉钥匙还留在办公室里，忘了带出来。但是他仍很快走进家门。他并不是爬墙进去的，也没有把备用钥匙藏在别处。他到底是怎么进去的。 答案：住宅和公司在同一栋大楼里 
0632—明尼波里市的某个蛋商，在空房间的地板上放置四个蛋。然后用一个铁制的大滚筒，推压整个房间;蛋却一个都没破。这是为什么 答案：四个蛋放到四个角上. 
0633—有时侯，没有受过正式教育的人反而容易理解问题。各位请看：1、12、1、1、1、2……接下来的数字该是几呢？ 答案：报时钟接下来是1314等 
0634—有一家电影院，正在放映一部喜剧冒险爆笑片，男主角的动作很滑稽，可是电影院内的观众反而愈看愈伤心，这是为什么 答案：因为拌演这位男主角的刚过世 
0635—黄先生对于找寻失物非常厉害，再细微的东西丢失了，他都可以找得出来。但是有一次他丢了一件东西却不能一下子就找出来，为此大伤脑筋呢!他到底丢了什么东西 答案：他丢的是隐形眼镜 
0636—黑笔如何能够写出红字？大家知道写的字是“红”。但是，不用这种方法，如何写出白字来？ 答案：白字就是错别字 
0637—今天我吃了：3个猪；3个牛；5个羊；7个大鱼，可不一会儿肚子又饿了！问：这可不可能呢？ 答案：因为吃得是动物饼干 
0638—小刘是个很好的电工师傅，可他今天修好的灯却不亮，为什么？ 答案：今天停电 
0639—小健问小康，谁是兽中之王，你能帮他回答吗？ 答案：动物园园长 
0640—作家的最好写作方式是什么？ 答案：从左向右写 
0641—“好马不吃回头草”最合乎逻辑的解释是什么？ 答案：后面的草都吃光了 
0642—满满一杯啤酒，怎样才能先喝到杯底的酒？ 答案：用吸管 
