脑筋急转弯==002  
 
 
 
0051—海水为什么是咸的？ 答案：鱼流的泪太多了 
0052—为什么阿福总要等老师动手才去听老师的话？ 答案：他是个聋子 
0053—钻进钱眼里的人最终会怎样？ 答案：最终会死 
0054—老王已经年过半百为什么总爱围着女人转？ 答案：老王是推销化妆品的 
0055—用什么方法可以使人不喝水？ 答案：把水改名字 
0056—一斤白菜5角钱，一斤萝卜6角钱，那一斤排骨多少钱？ 答案：一两等于十钱一斤100钱 
0057—有一名女囚犯，被抓到警察局，并被单独关到了一间防守非常好的小囚室里，在没有可能外人进入的情况下，第二天早晨，囚室里居然多出了一名男士！这是为什么？ 答案：这是一名怀了孕的女犯生下一名男婴 
0058—阿珍什么家务都不会做，脾气又坏，他爸妈为什么还拼命催她结婚？ 答案：其目的是为了嫁祸于人. 
0059—一间屋子里到处都在漏雨，可是谁也没被淋湿，为什么？ 答案：空房子 
0060—什么人可以饭来张口，衣来伸手？ 答案：婴儿 
0061—脱了红袍子,是个白胖子去了白胖子,是个黑圆子。打一植物？ 答案：荔枝 
0062—一辆出租车在公路上正常行驶，并且没有违反任何交通规则却被一个警察给拦住了，请问为什么 答案：警察打车 
0063—有一个网站，凡是上网的人没有不先去那里的为什么 答案：任何人都能够各需所爱. 
0064—鸭蛋一打有多少个？ 答案：全没有了碎了 
0065—后脑勺受伤的人怎样睡觉？ 答案：闭着眼睛睡觉 
0066—人死后为什么变得冰凉？ 答案：心静自然凉 
0067—现代人为什么越来越喜欢挖耳朵？ 答案：爱讲脏话的人越来越多了 
0068—友情和爱情怎样区分？ 答案：友情出现在白天爱情出现在晚上 
0069—吃不到葡萄，也不说葡萄酸，为什么？ 答案：理解 
0070—十万个为什么是什么？ 答案：想问什么就问什么 
0071—什么时候我们会甘心熄灭自己的生命之火？ 答案：切生日蛋糕之前 
0072—三名犯人聆听法官宣判，法官说左右两个无罪，究竟为什么？ 答案：关中 
0073—中国人讲什么话？ 答案：中国话 
0074—地球有两处地方，昨天可以是今天，今天可以是明天，那地方是哪？ 答案：南极和北极 
0075—小凯开着车子，却始终到不目的地，为什么？ 答案：车子倒着走 
0076—芳芳吃牛肉面，却不见任何牛肉？ 答案：她吃的是牛肉泡面 
0077—大明的英语呱呱叫，可是老外，都听不懂他讲的？ 答案：头撞到水中的乌龟 
0078—陆先生刚理发完，便要求理发师降他的头发“中分”理发师说做不到，为什么？ 答案：他的头发是奇数 
0079—圣　诞　夜，　圣　诞　老　公　公　放　进　袜　子　的　第　一　件　东　西　是　什　么　？ 答案：脚 
0080—什么地方盖了章才过得去？ 答案：印度 
0081—苹果树上有二十个熟透的苹果，被风吹落了一　半，后又被果农摘了一半，那么树上还有几个苹果？ 答案：5 
0082—从一写到一万，你会用多少时间？ 答案：最多5秒,10000 
0083—为　什　么　拿　破　仑　的　字　典　里　没　有　一个“难”字　？ 答案：他的字典是法文 
0084—和尚打着一把伞，是一个什么成语？ 答案：无发无天 
0085—什么花可以看而不可以把握？ 答案：水花和烟花 
0086—哪种火车车厢最少？ 答案：救火车 
0087—什么人是人们说时很崇拜，但却不想见到 答案：上帝 
0088—胖妞生病了，最怕别人来探病时说什么？ 答案：多多保重 
0089—中国人最早的姓氏是什么 答案：姓善"人之初,性本善." 
0090—一只健壮的鸭子为什么在小河中溺死了？ 答案：想不开自杀了 
0091—从前，遍地是金的山是什么山？ 答案：旧金山 
0092—铁放到外面要生锈，那金子呢 答案：没了 
0093—农夫养了10头牛，为什么只有19只角？ 答案：其中一只是犀牛 
0094—小明的爸爸只当了一次官，而且只当了几天。可是因为当了那次官，闹得他每天都要掏腰包，他当的是什么官 答案：新郎官 
0095—什么时候最好还是要高高举起你的双手好些 答案：当人用手枪指着你的头的时候 
0096—小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗 答案：妈妈背着他上楼 
0097—一个苹果减去一个苹果，猜一个字。 答案：0 
0098—三个金“鑫”，三个水叫“淼”，三个人叫“众”，那么三个鬼应该叫什么 答案：救命 
0099—哪儿的海不产鱼 答案：辞海 
0100—楚楚的生日在三月三十日，请问是哪年的三月三十日 答案：每年的三月三十日 
