脑筋急转弯==064  
 
 
 
3150—哪种比赛，赢的得不到奖品，输的却有奖品 答案：划拳喝酒 
3151—有一个眼睛瞎了的人，走到山崖边上，突然停住了，然后往回走，为什么 答案：他瞎了一只眼 
3152—什么照片看不出照的是谁？ 答案：X光片 
3153—时钟敲了十三下,请问现在该做什么呢 答案：修理钟表 
3154—最不听话的是谁 答案：聋子 
3155—如何才能把你的左手完全放在你穿在身上的右裤袋里,而同时把你的右手完全放在你穿在身上的左裤袋里？ 答案：反穿裤子 
3156—下雪天，阿文开了暖气，关上门窗，为什么还感到很冷？ 答案：他在门外 
3157—你只要叫它的名字就会把它破坏，它是什么？ 答案：沉默 
3158—有两个人，一个面朝南一个面朝北的站立着，不准回头也不准照镜子，问他们能否看到对方的脸？ 答案：能，他们面对着站着 
3159—人在什么情况下会七窍生烟？ 答案：火葬的时候 
3160—警方发现一起智能杀人案，现场没有留下线索，也找不到目击者，但一个小时后警方宣布破案，为什么？ 答案：凶手自首了 
3161—为什么全世界的母鸡都是短腿？ 答案：这样鸡蛋就不会摔破 
3162—生米不小心煮成熟饭时该怎么办？ 答案：准备开饭 
3163—什么情况下5大于O，O大于2，2大于5？ 答案：石头，剪刀，布 
3164—一场大雨，忙着栽种的农民纷纷躲避，却仍有一人不走，为什么？ 答案：稻草人 
3165—为什么自由女神像老站在纽约港？ 答案：因为她坐不下去 
3166—当你向别人夸耀你的长处的同时，别人还会知道你的什么？ 答案：你不是个哑巴 
3167—大灰狼拖走了羊妈妈，小羊为什么也不声不响地跟了去？ 答案：小羊在羊妈妈的肚子里 
3168—盲人都是怎么吃桔子的？ 答案：瞎掰 
3169—小明的肚子明明已经胀得受不了了，为什么他还要不停地猛喝水？ 答案：他掉进河里了 
3170—好心的约翰去世了，天使要带他上天堂，为什么他坚决不肯去？ 答案：他有恐高症 
3171—哪一颗牙最后长出来？ 答案：假牙 
3172—小张走路从来脚不沾地，这是为什么？ 答案：因为穿着鞋 
3173—为什么自由泳比赛中青蛙输给了狗？ 答案：青蛙用蛙泳犯规 
3174—一群女孩在正在河边洗澡，突然一陌生男人闯入，你觉得她们最想遮住哪儿？ 答案：男人的眼睛 
3175—为什么老虎打架,非要拼个你死我活绝不罢休？ 答案：没有人敢去劝架 
3176—用什么可以解开所有的谜？ 答案：谜底 
3177—大勇说他和学校的老师很熟，在学校里哪里都能进去，但小涵偏说他有一处地方永远也不能进去，是什么地方呢？ 答案：换辆大一点的车进教室 
3178—为什么大雁秋天要飞到南方去？ 答案：因为走太慢了 
3179—书店里买不到什么书？ 答案：遗书 
3180—有一个小圆孔的直径只有1厘米，而有一种体积达100立方米的物体却能顺利通过这个不孔，那么它是什么物体呢？ 答案：水 
3181—超人和蝙蝠侠的最大区别是什么？ 答案：蝙蝠侠把内裤穿在里面，超人把内裤穿在外面 
3182—幼儿园放学了，但却没有一个小朋友从大门出去，是怎么回事呢？ 答案：大门检修，请走侧门 
3183—什么地方恶人们不再干扰得你心烦意乱，而只好与你生活在一起？ 答案：天堂 
3184—有一种棋只有两种棋子，你知道是什么棋类吗？ 答案：围棋，只有黑棋和白棋 
3185—什么东西将一间屋子装满，人又能活动自如？ 答案：空气和光 
3186—有一种东西，买的人知道，卖的人也知道，只有用的人不知道，是什么东西？ 答案：棺材 
3187—小明的母亲有三个儿子，大儿子叫大毛，二儿子叫二毛，三儿子叫什么？ 答案：小明 
3188—什么人始终不敢洗澡？ 答案：泥人 
3189—什么蛋打不烂，煮不熟，更不能吃 答案：考试得的"零"蛋 
3190—什么事每人每天都必须认真的做 答案：睡觉 
3191—鸡蛋壳有什么用处？ 答案：包蛋清和蛋黄 
3192—冬天，宝宝怕冷，到了屋里也不肯脱帽。可是他见了一个人乖乖地脱下帽，那人是谁？ 答案：理发师 
3193—用什么方法立刻可以找到遗失的图钉？ 答案：光着脚走 
3194—一只鸡，一只鹅，放冰箱里，鸡冻死了，鹅却活着，为什么？ 答案：企鹅 
3195—哪一种竹子不长在土里？ 答案：爆竹 
3196—满满一瓶牛奶，怎么才能先喝到瓶底的部分？ 答案：用吸管 
3197—有一座独木桥承重80公斤,请问一个体重70公斤并带着两个重量均为10公斤的铁球的人如何在桥上通过 答案：颠着球 
3198—什么书中毛病最多？ 答案：医学书 
3199—以下石头城、太阳城、凤凰城、瓜果城、汽车城、英雄城、足球城分别都是哪几个城市吗？ 答案：江苏省南京市；西藏拉萨市；广西南宁市；甘肃省兰州市
