脑筋急转弯==069  
 
 
 
3399—小华说他能在1秒钟之内把房间和房间里的玩具都变没了，这可能吗 答案：把眼睛闭上 
3400—中国人最早的姓氏是什么 答案：是善，没听说"人之初，姓本善"吗 
3401—地球上什么东西每天要走的距离最远 答案：地球（自转一周） 
3402—什么时候最好还是要高高举起你的双手好些 答案：有人用枪指着你的时候 
3403—三个孩子吃三个饼要用3分钟，九十个孩子九十个饼要用多少时间 答案：三分钟，大家一起吃 
3404—铁放到外面要生锈，那金子呢 答案：会被偷走 
3405—小明家住在五楼，可是电梯坏了，他自己也没有走楼梯，他却上了五楼回到家里，这可能吗 答案：他妈妈背他上楼 
3406—人在什么情况下会变得目中无人 答案：眼睛瞎了的时候 
3407—什么时候看到的月亮最大 答案：登上月球的时候 
3408—比细菌还小的东西是什么 答案：细菌的儿子 
3409—小张说的相声大家都喜欢听，为什么他有的时候说话却要付钱 答案：打公用电话肯定要付钱 
3410—黑人和白人生下的婴儿，牙齿是什么颜色的 答案：婴儿没有牙齿 
3411—猪的全身都是宝，用处很大，猪对人类还有什么用处 答案：骂人 
3412—高骑自行车骑了十公里，但周围的景物始终没有变化。为什么 答案：因为他骑的健身车 
3413—一只瞎了左眼的山羊，在它的左边放一块猪肉，在它的右边放一块猪肉，请问它会先吃哪一块 答案：都不吃，山羊吃素 
3414—六岁的小明总是喜欢把家里的闹钟整坏，妈妈为什么总是让不会修理钟表的爸爸代为修理 答案：爸爸是修理小明 
3415—阿里巴巴和四十大盗的故事是东方夜谭还是西方夜谭 答案：天方夜谭 
3416—当地球爆炸时，什么地方最安全 答案：地狱 
3417—换心手术失败，医生问快要断气的病人有什么遗言要交代，你猜他会说什么？ 答案：其实你不懂我的心 
3418—有个刚生下的婴儿，有两个小孩和他是同年同月同日生的，而且是同一对父母生的，但他们不是双胞胎，这可能吗？ 答案：三胞胎 
3419—给你一本杂志和一个火柴盒，你能使杂志只有三分之一放在桌边而不掉落下来吗 答案：把杂志掀开三分之一放在桌边，自然就不会掉下来了 
3420—有一根棍子，要使它变短，但不许锯断，折断或削短，该怎么办 答案：拿一根更长的棍子跟它比 
3421—看了不能买，买了不能用的是什么 答案：棺材 
3422—什么酒价格最贵 答案：喜酒 
3423—有二个空房间，一间房间有三盏灯，另一个房间有三个开关，每一个开关只能打开一盏灯，如果你只可以进每个房间一次，那你要如何知道那个开关控制哪盏灯？ 答案：将一个开关打开五分钟，再开另一个开关，到另一房间， 
3424—四个9加起来为什么等于100？ 答案：9/9+99 
3425—一个不会游泳的人掉进了水里却没有淹死，为什么 答案：他穿了救生衣 
3426—放大镜不能放大的东西是什么？ 答案：角度 
3427—什么样的轮子只转不走？ 答案：风车轮 
3428—当你向别人夸耀你的长处的同时，别人还会知道你的什么？ 答案：你是不是哑巴 
3429—一只凶猛的饿猫，看到老鼠，为何却拨腿就跑？ 答案：去追老鼠 
3430—别人跟阿丹说她的衣服怎么没衣扣，她却不在乎，为什么？ 答案：因为她的衣服只有拉链，没有扣子 
3431—男人在一起喝酒，为什么非划拳不可？ 答案：敬酒不吃吃罚酒 
3432—“Kiss”是动词,形容词还是名词 答案：连词 
3433—梁山伯和祝英台变成了一对比翼双飞的蝴蝶之后怎样了？ 答案：生了一堆毛毛虫 
3434—一个人被老虎穷追不舍，突然前面有一条大河,他不会游泳,但他却过去了，为什么？ 答案：昏过去了 
3435—口吃的人做什么事最亏？ 答案：打长途电话 
3436—世界拳击冠军却很容易被什么击倒？ 答案：瞌睡 
3437—铁锤锤鸡蛋为什么锤不破？ 答案：锤怎么会破 
3438—一群惧内的大丈夫们正聚集在一起商量怎样重振男子汉的雄风，突然听说他们的老婆来了，大家四处逃窜，惟独一人没有跑，为什么？ 答案：吓死了 
3439—你的爸爸的妹妹的堂弟的表哥的爸爸与你叔叔的儿子的嫂子是什么关系 答案：亲戚关系 
3440—你能做、我能做、大家都能做，一个人能做、两个人不能一起做。这是做什么 答案：做梦 
3441—什么贵重的东西最容易不翼而飞 答案：人造卫星 
3442—哪儿的海不产鱼 答案：辞海 
3443—警察面对两名歹徒，但他只剩下一颗子弹，他对歹徒说：谁动就打谁，结果没动的反而挨子弹，为什么？ 答案：因为不动较好打 
3444—胖胖是个颇有名气的跳水运动员，可是有一天，他站在跳台上，却不敢往下跳。这是为什么？ 答案：因为水池里没有水 
3445—刮风的晚上，停电了，晓晓上床睡觉时忘了吹蜡烛，第二天醒来时，蜡烛居然还有很长一支没有燃完，怎么回事呢？ 答案：被风吹熄了 
3446—胖姐阿英站上人体秤时，为何指针却只指着5？ 答案：指针已经转过一圈了 
3447—什么时候四减三会等于五 答案：四个角的东西切去一个角. 
3448—有两个人决定进行自行车比赛，看谁的自行车跑的快，比赛在一个平坦宽敞的体育场里进行，但当比赛开始时，他们两个却谁也不愿意领先，反而都在慢悠悠的骑，已知他们两人都不会互相谦让，也没有外来因素干扰，总之，一切都很正常，这究竟 答案：他们交换了自行车
